CD,Geoarea,Province,Acute Mortality,Population (all ages),"Rate(per 100,000)"
1001,NL- Division No. 1 (CD1001),Newfoundland and Labrador,0.0,"270,778",0.02
1002,NL- Division No. 2 (CD1002),Newfoundland and Labrador,0.0,"20,522",0.03
1003,NL- Division No. 3 (CD1003),Newfoundland and Labrador,0.0,"15,367",0.03
1004,NL- Division No. 4 (CD1004),Newfoundland and Labrador,0.0,"20,161",0.03
1005,NL- Division No. 5 (CD1005),Newfoundland and Labrador,0.0,"41,111",0.03
1006,NL- Division No. 6 (CD1006),Newfoundland and Labrador,0.0,"37,712",0.04
1007,NL- Division No. 7 (CD1007),Newfoundland and Labrador,0.0,"33,759",0.04
1008,NL- Division No. 8 (CD1008),Newfoundland and Labrador,0.0,"35,690",0.04
1009,NL- Division No. 9 (CD1009),Newfoundland and Labrador,0.0,"15,686",0.04
1010,NL- Division No. 10 (CD1010),Newfoundland and Labrador,0.0,"24,167",0.03
1011,NL- Division No. 11 (CD1011),Newfoundland and Labrador,0.0,"2,584",0.01
1101,PE- Kings (CD1101),Prince Edward Island,0.0,"18,329",0.04
1102,PE- Queens (CD1102),Prince Edward Island,0.0,"88,434",0.04
1103,PE- Prince (CD1103),Prince Edward Island,0.0,"46,268",0.04
1201,NS- Shelburne (CD1201),Nova Scotia,0.0,"14,212",0.03
1202,NS- Yarmouth (CD1202),Nova Scotia,0.0,"24,616",0.03
1203,NS- Digby (CD1203),Nova Scotia,0.0,"17,753",0.03
1204,NS- Queens (CD1204),Nova Scotia,0.0,"10,865",0.04
1205,NS- Annapolis (CD1205),Nova Scotia,0.0,"21,475",0.03
1206,NS- Lunenburg (CD1206),Nova Scotia,0.0,"47,966",0.04
1207,NS- Kings (CD1207),Nova Scotia,0.0,"61,354",0.03
1208,NS- Hants (CD1208),Nova Scotia,0.0,"43,165",0.04
1209,NS- Halifax (CD1209),Nova Scotia,0.1,"418,999",0.02
1210,NS- Colchester (CD1210),Nova Scotia,0.0,"51,829",0.05
1211,NS- Cumberland (CD1211),Nova Scotia,0.0,"31,267",0.05
1212,NS- Pictou (CD1212),Nova Scotia,0.0,"45,788",0.05
1213,NS- Guysborough (CD1213),Nova Scotia,0.0,"7,521",0.07
1214,NS- Antigonish (CD1214),Nova Scotia,0.0,"19,827",0.04
1215,NS- Inverness (CD1215),Nova Scotia,0.0,"17,421",0.04
1216,NS- Richmond (CD1216),Nova Scotia,0.0,"9,116",0.04
1217,NS- Cape Breton (CD1217),Nova Scotia,0.0,"100,280",0.03
1218,NS- Victoria (CD1218),Nova Scotia,0.0,"6,974",0.05
1301,NB- Saint John (CD1301),New Brunswick,0.0,"76,531",0.04
1302,NB- Charlotte (CD1302),New Brunswick,0.0,"25,974",0.05
1303,NB- Sunbury (CD1303),New Brunswick,0.0,"27,905",0.03
1304,NB- Queens (CD1304),New Brunswick,0.0,"10,651",0.07
1305,NB- Kings (CD1305),New Brunswick,0.0,"69,792",0.03
1306,NB- Albert (CD1306),New Brunswick,0.0,"29,631",0.04
1307,NB- Westmorland (CD1307),New Brunswick,0.1,"154,350",0.03
1308,NB- Kent (CD1308),New Brunswick,0.0,"30,703",0.05
1309,NB- Northumberland (CD1309),New Brunswick,0.0,"47,362",0.07
1310,NB- York (CD1310),New Brunswick,0.1,"102,908",0.06
1311,NB- Carleton (CD1311),New Brunswick,0.0,"26,389",0.08
1312,NB- Victoria (CD1312),New Brunswick,0.0,"19,028",0.12
1313,NB- Madawaska (CD1313),New Brunswick,0.0,"33,221",0.08
1314,NB- Restigouche (CD1314),New Brunswick,0.0,"31,804",0.09
1315,NB- Gloucester (CD1315),New Brunswick,0.0,"76,228",0.06
2401,QC- Les Îles-de-la-Madeleine (CD2401),Quebec,0.0,"12,674",0.03
2402,QC- Le Rocher-Percé (CD2402),Quebec,0.0,"17,781",0.07
2403,QC- La Côte-de-Gaspé (CD2403),Quebec,0.0,"18,180",0.07
2404,QC- La Haute-Gaspésie (CD2404),Quebec,0.0,"12,058",0.09
2405,QC- Bonaventure (CD2405),Quebec,0.0,"18,320",0.07
2406,QC- Avignon (CD2406),Quebec,0.0,"15,596",0.08
2407,QC- La Matapédia (CD2407),Quebec,0.0,"18,537",0.08
2408,QC- Matane (CD2408),Quebec,0.0,"22,116",0.07
2409,QC- La Mitis (CD2409),Quebec,0.0,"19,014",0.08
2410,QC- Rimouski-Neigette (CD2410),Quebec,0.0,"58,816",0.07
2411,QC- Les Basques (CD2411),Quebec,0.0,"9,123",0.09
2412,QC- Rivière-du-Loup (CD2412),Quebec,0.0,"35,557",0.06
2413,QC- Témiscouata (CD2413),Quebec,0.0,"20,814",0.07
2414,QC- Kamouraska (CD2414),Quebec,0.0,"21,674",0.07
2415,QC- Charlevoix-Est (CD2415),Quebec,0.0,"16,508",0.08
2416,QC- Charlevoix (CD2416),Quebec,0.0,"13,775",0.08
2417,QC- L'Islet (CD2417),Quebec,0.0,"18,892",0.07
2418,QC- Montmagny (CD2418),Quebec,0.0,"23,445",0.07
2419,QC- Bellechasse (CD2419),Quebec,0.0,"37,792",0.06
2420,QC- L'Île-d'Orléans (CD2420),Quebec,0.0,"6,760",0.07
2421,QC- La Côte-de-Beaupré (CD2421),Quebec,0.0,"28,000",0.06
2422,QC- La Jacques-Cartier (CD2422),Quebec,0.0,"42,396",0.03
2423,QC- Québec (CD2423),Quebec,0.3,"596,491",0.06
2425,QC- Lévis (CD2425),Quebec,0.1,"147,638",0.04
2426,QC- La Nouvelle-Beauce (CD2426),Quebec,0.0,"37,885",0.04
2427,QC- Robert-Cliche (CD2427),Quebec,0.0,"20,077",0.06
2428,QC- Les Etchemins (CD2428),Quebec,0.0,"17,275",0.07
2429,QC- Beauce-Sartigan (CD2429),Quebec,0.0,"54,218",0.05
2430,QC- Le Granit (CD2430),Quebec,0.0,"22,862",0.06
2431,QC- Les Appalaches (CD2431),Quebec,0.0,"44,309",0.07
2432,QC- L'Érable (CD2432),Quebec,0.0,"24,162",0.06
