HR_Code,Percent_Over_200
2404,0
3553,0
3570,0
5922,0
5923,0
5931,0
6201,0
3530,0.5
5941,0.6
4829,0.7
5942,0.9
5943,0.9
3556,1
5932,1
3546,1.1
3595,1.8
3547,1.9
1204,2
5921,2.1
3565,2.5
3534,2.6
3560,2.6
1014,3
5933,3.1
1111,3.5
2414,3.7
3536,3.8
3544,4.2
2408,4.3
4822,4.4
2409,4.7
1012,5
1011,5.1
4825,5.2
5951,5.2
3537,5.3
4826,5.3
6101,5.4
1202,5.6
2410,5.8
3535,6.1
1201,6.2
5914,6.4
3558,6.7
3551,7
4709,7.4
3531,7.5
4824,7.5
3563,7.8
4685,7.9
3555,8.1
2402,8.2
3542,8.4
3526,8.6
4821,8.9
4828,8.9
3557,9
2406,9.2
4827,9.6
2416,9.7
5953,10
1013,10.4
3561,10.5
4625,10.5
2415,10.6
4710,10.7
3533,11.2
3539,11.3
3552,11.5
2403,11.7
4823,11.9
3527,12
3554,12
5952,12
2413,12.1
3538,12.1
4670,12.3
1203,12.5
2417,12.5
4702,12.7
2412,13.1
1301,13.4
2407,13.6
1302,13.7
3549,13.8
4714,13.9
2401,14
1205,14.1
4701,14.7
3566,15.4
4706,15.6
5913,16.1
1303,16.2
4708,17
3568,17.1
3540,18.4
3541,18.5
2405,18.9
5911,19
3543,19.4
6001,19.6
4707,19.8
3562,20.3
4620,21
1206,21.2
1305,23.6
4630,24.8
4705,25
2411,25.3
4703,25.5
1307,29
1304,29.1
5912,29.4
4610,32.9
4645,34.5
1306,40
4704,41.1
4640,42.6
4660,43.4
4615,44.3
